year,rank,player,nationality,team,club_country,points
1956,1,Stanley Matthews,England,Blackpool,England,47
1956,2,Alfredo Di Stéfano,Spain,Real Madrid,Spain,44
1956,3,Raymond Kopa,France,Real Madrid,Spain,33
1957,1,Alfredo Di Stéfano,Spain,Real Madrid,Spain,72
1957,2,Billy Wright,England,Wolverhampton Wanderers,England,19
1957,3,Duncan Edwards,England,Manchester United,England,16
1958,1,Raymond Kopa,France,Real Madrid,Spain,71
1958,2,Helmut Rahn,West Germany,Rot-Weiss Essen,West Germany,40
1958,3,Just Fontaine,France,Reims,France,23
1959,1,Alfredo Di Stéfano,Spain,Real Madrid,Spain,80
1959,2,Raymond Kopa,France,Reims,France,42
1959,3,John Charles,Wales,Juventus,Italy,24
1960,1,Luis Suárez,Spain,Barcelona,Spain,54
1960,2,Ferenc Puskás,Hungary,Real Madrid,Spain,37
1960,3,Uwe Seeler,West Germany,Hamburger SV,West Germany,33
1961,1,Omar Sívori,Italy,Juventus,Italy,46
1961,2,Luis Suárez,Spain,Inter Milan,Italy,40
1961,3,Johnny Haynes,England,Fulham,England,22
1962,1,Josef Masopust,Czechoslovakia,Dukla Prague,Czechoslovakia,65
1962,2,Eusébio,Portugal,Benfica,Portugal,53
1962,3,Karl-Heinz Schnellinger,West Germany,1. FC Köln,West Germany,33
1963,1,Lev Yashin,Soviet Union,Dynamo Moscow,Soviet Union,73
1963,2,Gianni Rivera,Italy,Milan,Italy,55
1963,3,Jimmy Greaves,England,Tottenham Hotspur,England,50
1964,1,Denis Law,Scotland,Manchester United,England,61
1964,2,Luis Suárez,Spain,Inter Milan,Italy,43
1964,3,Amancio,Spain,Real Madrid,Spain,38
1965,1,Eusébio,Portugal,Benfica,Portugal,67
1965,2,Giacinto Facchetti,Italy,Inter Milan,Italy,59
1965,3,Luis Suárez,Spain,Inter Milan,Italy,45
1966,1,Bobby Charlton,England,Manchester United,England,81
1966,2,Eusébio,Portugal,Benfica,Portugal,80
1966,3,Franz Beckenbauer,West Germany,Bayern Munich,West Germany,59
1967,1,Flórián Albert,Hungary,Ferencváros,Hungary,68
1967,2,Bobby Charlton,England,Manchester United,England,40
1967,3,Jimmy Johnstone,Scotland,Celtic,Scotland,39
1968,1,George Best,Northern Ireland,Manchester United,England,61
1968,2,Bobby Charlton,England,Manchester United,England,53
1968,3,Dragan Džajić,Socialist Federal Republic of Yugoslavia,Red Star Belgrade,Socialist Federal Republic of Yugoslavia,46
1969,1,Gianni Rivera,Italy,Milan,Italy,83
1969,2,Gigi Riva,Italy,Cagliari,Italy,79
1969,3,Gerd Müller,West Germany,Bayern Munich,West Germany,38
