player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_missing,ga_per_90
Jacques Abardonado,FRA,DF,Nice,Ligue 1,25,34,2963,0,0,2003-2004,False,0.0
Christian Abbiati,ITA,GK,Milan,Serie A,26,2,180,0,0,2003-2004,False,0.0
Yacine Abdessadki,MAR,MF,Strasbourg,Ligue 1,22,22,1424,0,0,2003-2004,False,0.0
Djamel Abdoun,ALG,MF,Ajaccio,Ligue 1,17,1,9,0,0,2003-2004,False,0.0
Éric Abidal,FRA,DF,Lille,Ligue 1,23,35,3131,0,0,2003-2004,False,0.0
Jim Ablancourt,FRA,DF,Monaco,Ligue 1,20,4,167,0,0,2003-2004,False,0.0
Giuseppe Abruzzese,ITA,DF,Lecce,Serie A,22,26,1897,0,0,2003-2004,False,0.0
José Acciari,ARG,MF,Real Murcia,La Liga,24,35,2910,2,0,2003-2004,False,0.0619
Milenko Ačimovič,SVN,MF,Lille,Ligue 1,26,16,1313,6,1,2003-2004,False,0.4798
Daniele Adani,ITA,DF,Inter,Serie A,29,23,1785,1,0,2003-2004,False,0.0504
Otto Addo,GHA,MF,Dortmund,Bundesliga,28,6,435,0,1,2003-2004,False,0.2069
Emmanuel Adebayor,TOG,FW,Monaco,Ligue 1,19,31,1879,8,4,2003-2004,False,0.5748
Adriano,BRA,FW,Inter,Serie A,21,16,1187,9,0,2003-2004,True,0.6824
Adriano,BRA,FW,Parma,Serie A,21,9,720,8,0,2003-2004,True,1.0
Godfried Aduobe,GHA,MF,Hansa Rostock,Bundesliga,27,12,710,0,0,2003-2004,False,0.0
Kodjo Afanou,FRA,DF,Bordeaux,Ligue 1,25,5,384,0,0,2003-2004,False,0.0
Omri Afek,ISR,"DF,MF",Racing Sant,La Liga,24,25,946,2,1,2003-2004,False,0.2854
Victor Agali,NGA,FW,Schalke 04,Bundesliga,24,12,784,3,0,2003-2004,False,0.3444
Kossi Agassa,TOG,GK,Metz,Ligue 1,25,11,990,0,0,2003-2004,False,0.0
Federico Agliardi,ITA,GK,Brescia,Serie A,20,17,1480,0,0,2003-2004,False,0.0
Alessandro Agostini,ITA,DF,Empoli,Serie A,24,9,525,0,0,2003-2004,False,0.0
Paul Agostino,AUS,FW,1860 Munich,Bundesliga,28,22,1028,5,0,2003-2004,False,0.4377
Carlos Aguilera,ESP,DF,Atlético Madrid,La Liga,34,24,1729,0,4,2003-2004,False,0.2082
Mikel Aguirregomezkorta Larrea,ESP,FW,Albacete,La Liga,28,28,1159,5,3,2003-2004,False,0.6212
Hassan Ahamada,FRA,"FW,MF",Nantes,Ligue 1,22,10,582,0,0,2003-2004,False,0.0
Lawrence Aidoo,GHA,"FW,MF",Gladbach,Bundesliga,21,5,193,0,1,2003-2004,False,0.4663
Pablo Aimar,ARG,MF,Valencia,La Liga,23,25,1628,4,9,2003-2004,False,0.7187
Yakubu Aiyegbeni,NGA,FW,Portsmouth,Premier League,20,37,3124,16,3,2003-2004,False,0.5474
Akande Ajide,NGA,"FW,MF",Roma,Serie A,17,1,2,0,0,2003-2004,False,0.0
Kanga Akalé,CIV,"FW,MF",Auxerre,Ligue 1,22,24,1432,4,0,2003-2004,False,0.2514
David Albelda,ESP,"DF,MF",Valencia,La Liga,25,33,2734,1,4,2003-2004,False,0.1646
Demetrio Albertini,ITA,"FW,MF",Lazio,Serie A,31,23,1235,2,0,2003-2004,False,0.1457
Alberto,ESP,GK,Real Sociedad,La Liga,34,18,1620,0,0,2003-2004,False,0.0
Alcides,BRA,DF,Schalke 04,Bundesliga,18,6,374,0,0,2003-2004,False,0.0
Alexis,ESP,DF,Málaga,La Liga,17,3,39,0,0,2003-2004,False,0.0
Pablo Alfaro,ESP,DF,Sevilla,La Liga,34,37,3264,0,0,2003-2004,False,0.0
Alfredo,ESP,MF,Osasuna,La Liga,30,15,758,0,0,2003-2004,False,0.0
