player,nationality,position,team,league,age,matches,minutes,goals,assists,season,assists_recorded,ga_per_90
Patrick van Aanholt,NED,DF,Wigan Athletic,Premier League,20,3,270,0,0,2011-2012,False,0.0
Ignazio Abate,ITA,"DF,MF",Milan,Serie A,24,29,2597,0,2,2011-2012,True,0.0693
Christian Abbiati,ITA,GK,Milan,Serie A,34,31,2689,0,0,2011-2012,False,0.0
Mohammed Abdellaoue,NOR,FW,Hannover 96,Bundesliga,25,28,1990,11,0,2011-2012,False,0.4975
Aymen Abdennour,TUN,DF,Toulouse,Ligue 1,21,32,2880,2,0,2011-2012,False,0.0625
Yacine Abdessadki,MAR,MF,Freiburg,Bundesliga,30,11,625,0,0,2011-2012,False,0.0
Almen Abdi,SUI,MF,Udinese,Serie A,24,23,920,0,0,2011-2012,False,0.0
Pape Abdou Camara,SEN,MF,Valenciennes,Ligue 1,19,11,699,0,0,2011-2012,False,0.0
Mathias Abel,GER,DF,Kaiserslautern,Bundesliga,30,22,1838,0,0,2011-2012,False,0.0
Damià Abella,ESP,"DF,MF",Osasuna,La Liga,29,30,2255,0,0,2011-2012,False,0.0
Éric Abidal,FRA,DF,Barcelona,La Liga,31,22,1762,0,1,2011-2012,True,0.0511
Vincent Aboubakar,CMR,FW,Valenciennes,Ligue 1,19,27,2227,6,3,2011-2012,True,0.3637
Fabrice Abriel,FRA,MF,Nice,Ligue 1,32,27,1856,0,2,2011-2012,True,0.097
Francesco Acerbi,ITA,DF,Chievo,Serie A,23,17,1341,1,0,2011-2012,False,0.0671
Hakeem Achour,ALG,MF,Dijon,Ligue 1,22,1,4,0,0,2011-2012,False,0.0
Lautaro Acosta,ARG,"FW,MF",Racing Sant,La Liga,23,21,1259,2,0,2011-2012,False,0.143
Maxwell Acosty,GHA,"FW,MF",Fiorentina,Serie A,19,5,125,0,0,2011-2012,False,0.0
Robert Acquafresca,ITA,FW,Bologna,Serie A,23,32,1594,5,1,2011-2012,True,0.3388
Afriyie Acquah,GHA,MF,Palermo,Serie A,19,20,985,0,0,2011-2012,False,0.0
Charlie Adam,SCO,MF,Liverpool,Premier League,25,28,2167,2,6,2011-2012,True,0.3323
Antonio Adán,ESP,GK,Real Madrid,La Liga,24,1,90,0,0,2011-2012,False,0.0
